1,Jason,Klein,JKlein@nd.edu,Computer Science and Engineering, 
2,Beulah,McMillan,BMcMillan@nd.edu,Aerospace Engineering, 
3,Florence,Stark,FStark@nd.edu,Computer Science and Engineering, 
4,Noah,Gilbertson,NGilbertson@nd.edu,Computer Science and Engineering, 
5,Erna,Parker,EParker@nd.edu,Computer Science and Engineering, 
6,Sherry,Santana,SSantana@nd.edu,Aerospace Engineering, 
7,Ronald,Lees,RLees@nd.edu,Mechanical Engineering, 
8,Latasha,Pratt,LPratt@nd.edu,Aerospace Engineering, 
9,Misty,Thomas,MThomas@nd.edu,Aerospace Engineering, 
10,Petra,Barlow,PBarlow@nd.edu,Mechanical Engineering, 
11,Bonnie,Hampton,PHampton@nd.edu,Mechanical Engineering, 
12,Dion,Matheson,DMatheson@nd.edu,Mechanical Engineering, 
13,Cesar,McCray,CMcCray@nd.edu,Computer Science and Engineering, 
14,Rickey,Cottle,Rcottle@nd.edu,Computer Science and Engineering, 
15,Fredrick,Markley,Fmarkley@nd.edu,Civil Engineering, 
16,Joshua,Bartels,Jbartels@nd.edu,Civil Engineering, 
17,Maribel,Parsons,Mparsons@nd.edu,Computer Science and Engineering, 
18,Erma,Ballard,Eballard@nd.edu,Computer Science and Engineering, 
19,Wilfred,Bevins,Wbevins@nd.edu,Computer Science and Engineering, 
20,Rogelio,Cazares,Rcazares@nd.edu,Computer Science and Engineering, 
21,Dixie,Morrison,Dmorrison@nd.edu,Civil Engineering, 
22,Williams,Bisson,Wbisson@nd.edu,Mechanical Engineering, 
23,Christie,Clayton,Cclayton@nd.edu,Mechanical Engineering, 
24,Angelina,Craig,Acraig@nd.edu,Mechanical Engineering, 
25,Earnest,Rome,Erome@nd.edu,Aerospace Engineering, 
26,Madeline,Sargent,Msargent@nd.edu,Computer Science and Engineering, 
27,Gene,Angulo,Gangulo@nd.edu,Computer Science and Engineering, 
28,Daphne,Bentley,Dbentley@nd.edu,Computer Science and Engineering, 
29,Dora,Montgomery,Dmontgomery@nd.edu,Computer Science and Engineering, 
30,Bertha,Nolan,Bnolan@nd.edu,Civil Engineering, 
31,Stacey,Foltz,Sfoltz@nd.edu,Civil Engineering, 
32,Wilma,Aguirre,Waguirre@nd.edu,Computer Science and Engineering, 
33,Forrest,Downes,Fdownes@nd.edu,Computer Science and Engineering, 
34,Noah,Roger,Nroger@nd.edu,Computer Science and Engineering, 
35,Tracy,Baxley,Tbaxley@nd.edu,Computer Science and Engineering, 
36,Federico,Fiore,FFiore@nd.edu,Computer Science and Engineering, 
37,Nancy,Mendoza,NMendoza@nd.edu,Computer Science and Engineering, 
38,Luther,Briley,LBriley@nd.edu,Computer Science and Engineering, 
39,Norbert,Lunn,NLunn@nd.edu,Computer Science and Engineering, 
40,Fidel,Obryan,FObryan@nd.edu,Mechanical Engineering, 
41,Byron,Montenegro,BMontenegro@nd.edu,Mechanical Engineering, 
42,Blaine,Dulaney,BDulaney@nd.edu,Aerospace Engineering, 
43,Dennis,Word,DWord@nd.edu,Civil Engineering, 
44,Coy,Whiteman,CWhiteman@nd.edu,Civil Engineering, 
45,Rosie,Ingram,RIngram@nd.edu,Computer Science and Engineering, 
46,Anita,Miranda,AMiranda@nd.edu,Computer Science and Engineering, 
